merchant_raw,category_id,amount_cents
AMAZON.CA*NU48W2RT0     866-216-1072,shopping,6299
AMAZON.CA*NZ8HT5A52     AMAZON.CA,shopping,5913
"Amazon.ca*O10QV3HO3 AMAZON.CA, ON",shopping,13350
AMAZON.COM.CA           WWW.AMAZON.CO,shopping,6666
AMERICAN EAGLE 922      BURNABY,shopping,2014
AMERICAN EAGLE OUTFITTE MISSISSAUGA,shopping,24129
AMZN MKTP CA            866-216-1072,shopping,-2662
AMZN MKTP CA            WWW.AMAZON.CA,shopping,-6159
AMZN MKTP CA*DK6BZ7II3  WWW.AMAZON.CA,shopping,4952
AMZN MKTP CA*DV7LA4B93  866-216-1072,shopping,2555
AMZN MKTP CA*G13JJ09T3  866-216-1072,shopping,4895
AMZN MKTP CA*GA2958KS3  866-216-1072,shopping,4140
AMZN MKTP CA*LN37T7DE3  866-216-1072,shopping,3247
AMZN MKTP CA*M90GG4ZK3  866-216-1072,shopping,298
AMZN MKTP CA*N40282BD0  866-216-1072,shopping,7348
AMZN MKTP CA*NM0UU64P1  866-216-1072,shopping,3149
AMZN MKTP CA*NN6X66F03  WWW.AMAZON.CA,shopping,4083
AMZN MKTP CA*NU59O9WS0  866-216-1072,shopping,1994
AMZN MKTP CA*NU7ZP4W80  866-216-1072,shopping,3044
AMZN MKTP CA*NU9JB67V0  866-216-1072,shopping,1561
AMZN MKTP CA*NU9K49W90  866-216-1072,shopping,1469
AMZN MKTP CA*OL9BU3UD3  866-216-1072,shopping,2865
AMZN MKTP CA*QY06T0UO3  866-216-1072,shopping,7840
AMZN MKTP CA*RC2QY5RN2  WWW.AMAZON.CA,shopping,4479
AMZN MKTP CA*RC8620EG2  WWW.AMAZON.CA,shopping,6159
AMZN MKTP CA*TK2WS3VU0  WWW.AMAZON.CA,shopping,13103
AMZN MKTP CA*UY1GB2OM3  866-216-1072,shopping,2976
AMZN MKTP CA*UZ1BN2N53  866-216-1072,shopping,11667
AMZN MKTP CA*X031N2543  866-216-1072,shopping,1119
AMZN MKTP CA*XD5M34YE3  866-216-1072,shopping,7037
AMZN MKTP US*9M0OJ13C3  AMZN.COM/BILL,shopping,4749
"ANDSOITGOES COFFEE ROA VICTORIA, BC",dining,1907
ANEJO RESTAURANT - EDMO EDMONTON,dining,5603
ANOMALY                 SAN FRANCISCO,subscriptions,1458
ANTHROPIC               SAN FRANCISCO,subscriptions,2100
ANTHROPIC* CLAUDE SUB   SAN FRANCISCO,subscriptions,11997
ANTON'S PASTA BAR 41367 BURNABY,dining,5432
"APPLE.COM/BILL 866-712-7753, ON",subscriptions,671
"APPLE.COM/BILL TORONTO, ON",subscriptions,144
APPLE.COM/CA            TORONTO,shopping,5145
APPLE.COM/IN            BENGALURU,shopping,78887
ARC GOVT CTR LRT FVM ED EDMONTON,transport,1000
ARC NAIT LRT FVM EDMONT EDMONTON,transport,2600
ARC TRANSIT BUS EDMONTO EDMONTON,transport,900
ARC TRANSIT ONLINE EDMO EDMONTON,transport,2000
AROMA CAFE & SNACKS BAR EDMONTON,dining,2424
ARYIRA FOODS LTD 53168  VICTORIA,groceries,2213
AUBERGE QUEBEC          QUEBEC,travel,4772
Automated Banking Machine ATM DEPOSIT HILLSIDE CTR 2E42,__exclude,300000
Automated Banking Machine ATM DEPOSIT HILLSIDE CTR 2F41,__exclude,40000
Automated Banking Machine ATM WITHDRAWAL HASTINGS and GILMORE 1E30,__exclude,30000
Automated Banking Machine ATM WITHDRAWAL HILLSIDE CTR 2D94,__exclude,200000
Automated Banking Machine ATM WITHDRAWAL HILLSIDE CTR 2E42,__exclude,4000
AVIS.CA                 ETOBICOKE,travel,-24388
BA LE DELI & BAKERY 001 VANCOUVER,dining,782
"BAGUETTE ET CHOCOLAT QUEBEC, QC",dining,802
BAM*HUNGERHUB           TORONTO,dining,866
BARBURRITO 413207667    EDMONTON INTERN,dining,1311
BASANT SWEETS AND RESTA SURREY,dining,874
BASKIN ROBBINS          CHENNAI,dining,1776
BASKIN ROBBINS #363924  BURNABY,dining,1248
BATH & BODY WORKS (CANA VICTORIA,shopping,1848
BATH AND BODY WORKS 559 MONROE,shopping,8106
"BB.Q CHICKEN METROTOWN BURNABY, BC",dining,2730
BBYMARKETPLACE*PULSELAB TORONTO,shopping,28204
BC-HYDRO-BILL-PMNT      800-224-9376,utilities,5553
"BCF - BC, SPIRIT OF     VICTORIA",travel,3515
BCF - COASTAL CELEBRATI VICTORIA,travel,1814
BCF - COASTAL RENAISSAN VICTORIA,travel,335
"BCF - NEWWESTMSTER, QUE VICTORIA",travel,3527
BCF - ONLINE SALES & BO VICTORIA,travel,1500
"BCF - ONLINE SALES & BOOK VICTORIA, BC",travel,5730
BCF - SWARTZ BAY        VICTORIA,travel,1614
BCF - TSAWWASSEN        VICTORIA,travel,2100
"BCF - VANIS, SPIRIT OF  VICTORIA",travel,1259
BCF-CUSTOMER SERVICE CE VICTORIA,travel,-7900
BEST BUY #763 BBY STORE LANGLEY,shopping,14778
BEST BUY #916 BBY STORE BRAMPTON,shopping,14778
BEST BUY #958 BBY STORE COQUITLAM,shopping,-14778
BETTY'S CORNER          EDMONTON,dining,2595
"BIG MOO NOMADS SYLVAN LAKE, AB",dining,802
BIG WAY HOT POT LOUGHEE BURNABY,dining,7469
BIG WAY HOT POT VICTORI VICTORIA,dining,2765
Billdesk*AMAZON         MUM,shopping,16352
BIN 4 BURGER LOUNGE (S) VICTORIA,dining,1717
BIRD* PENDING.BIRD.CO   VANCOUVER,transport,527
BIRYANI PALACE 001      VICTORIA,dining,12312
"BIRYANI PALACE VICTORIA, BC",dining,25430
BLUENOTES #9583         BURNABY,shopping,3693
BOMB NACHOS             Surrey,dining,2529
BOOM + BATTEN 001       VICTORIA,dining,2443
"BR # 365405 BURNABY, BC",dining,659
Branch Transaction BONUS INTEREST,__exclude,240
Branch Transaction CREDIT MEMO,__exclude,2500
Branch Transaction DEPOSIT IBB CIBC ELECTRONIC BANKING OPERAT,__exclude,73000
Branch Transaction DEPOSIT IBB METROTOWN BANKING CENTRE BURNA,__exclude,500000
Branch Transaction INTEREST,__exclude,23
Branch Transaction OVERDRAFT FEE,subscriptions,500
Branch Transaction OVERDRAFT INTEREST CHARGE,subscriptions,7
Branch Transaction SERVICE CHARGE ADD TXN$0.00;MONTHLY$6.95 RECORD-KEEPING N/A,subscriptions,695
Branch Transaction SERVICE CHARGE ADD TXN$1.25;MONTHLY$6.95 RECORD-KEEPING N/A,subscriptions,819
Branch Transaction SERVICE CHARGE ADD TXN$6.25;MONTHLY$6.95 RECORD-KEEPING N/A,subscriptions,1320
Branch Transaction SERVICE CHARGE CAPPED MONTHLY FEE$16.95 RECORD-KEEPING N/A,subscriptions,1695
Branch Transaction SERVICE CHARGE DISCOUNT,subscriptions,1695
Branch Transaction SMART INTEREST,utilities,262
Branch Transaction WITHDRAWAL IBB ICE DISTRICT BANKING CENTRE,shopping,15000
BREADLAND BAKERY & CAFE EDMONTON,dining,1213
BREKA BAKERY & CAFE 409 VANCOUVER,dining,1260
BREKA BAKERY & CAFE 411 VANCOUVER,dining,1313
BREKA BAKERY & CAFE 412 VANCOUVER,dining,2126
BRWD YYC COFFEE LTD.    Calgary,dining,863
BUBBLE WAFFLE CAFE METR BURNABY,dining,683
BUBBLE WORLD 412811857  VANCOUVER,dining,630
BUDGET RENT A CAR       VICTORIA,travel,19288
BURGER JOINT            San Fransisco,dining,3746
BURGER KING #18231      N-VANCOUVER,dining,345
BURGER KING #19204      VICTORIA,dining,440
BURGER KING #21655 0000 SAN FRANCISCO,dining,898
BURGER KING INTL-P.S    CALGARY,dining,2297
BURNABY PRCS BON        BURNABY,health,4851
BUTCHART GARDENS GIFT B BRENTWOOD BAY,gifts,1119
"C & C STORE EDMONTON, AB",groceries,398
"ca.shein.com 888-8519181, ON",shopping,4757
CACONNECT RYAN VEND L-  VICTORIA,dining,367
"CACONNECT RYAN VEND L- VICTORIA, BC",dining,367
"CAD SODA SNACK VENDING TORONTO, ON",dining,350
CAFE COFFEE DAY 1010011 CHENNAI,dining,1046
CAFE MILI               Langley,dining,630
"CAMELOT VANCOUVER, BC",dining,2574
CAMPBELL RIVER ESSO     CAMPBELL RIVE,transport,1759
CANADIAN TIRE #365      VICTORIA,shopping,1286
CANADIAN TIRE #467      EDMONTON,shopping,1794
CANADIAN TIRE #603      BURNABY,shopping,2238
"CANADIAN TIRE #603 BURNABY, BC",shopping,1612
CANADIAN TIRE #604      VANCOUVER,shopping,6230
CANADIAN TIRE GAS BAR # QUEBEC,transport,1033
"CANYON MEADOWS CINEMAS CALGARY, AB",shopping,6000
"CAPRICE CINEMAS WHITE SURREY, BC",shopping,1700
CARPE GRILL AND DINER 0 NORTH VANCOUV,dining,939
CARTERS #3418 000003418 EDMONTON,shopping,2624
CARTERS #3657 000003657 BURNABY,shopping,2730
CASABLANCA PIZZA & DONA EDMONTON,dining,239
CASH ADV/BT/CONV CHQ FEE,__exclude,500
CASH ADVANCE/AVANCE DE FO NDS,__exclude,200000
CASH INTEREST,__exclude,56
CASHBACK/REMISE EN ARGENT,__exclude,1048
CATHAY PACIFIC AIRWAYS  VANCOUVER,travel,-89297
cca*MODA OPTICS         Bengaluru,health,10950
"CCBill.com *OnlyFans 888-5969279, CA 4.20 USD @ 1.400000",subscriptions,588
CGY PARKING-PAY MACHINE CALGARY,transport,100
CHAI COFFEE DAY 4134108 EDMONTON,dining,1112
CHAIIWALA OF LONDON     SURREY,dining,798
CHALO MOMO NEPALI KITCH ABBOTSFORD,dining,2022
CHATGPT SUBSCRIPTION    SAN FRANCISCO,subscriptions,3143
"CHENNAI SPICES CALGARY, AB",groceries,4468
"CHETTNAD AACHY`S EDMONTON, AB",dining,4853
CHEVRON 43372 CHEVRON 4 SURREY,transport,5000
CHIPOTLE #2336          BURNABY,dining,1334
CHIPOTLE 4877           BURNABY,dining,3890
CHIPOTLE 5094           VICTORIA,dining,1491
CHIPOTLE ONLINE         HALIFAX,dining,2300
"CHOCOLATS FAVORIS VIC VICTORIA, BC",shopping,2346
"CHONG LEE MARKET VANCOUVER, BC",groceries,1334
CHUNGCHUN RICE HOT DOG  BURNABY,dining,1048
"CHUNGCHUN RICEDOGBURNABY BURNABY, BC",dining,1960
"CHURCH'S CHICKEN BURNABY, BC",dining,1050
"CHURCH'S CHICKEN COQUITLAM, BC",dining,1255
"CHURCH'S CHICKEN VANCOUVER, BC",dining,1381
CHV43004 METRO ON THE C VANCOUVER,transport,3056
CHV43005 WESTMOUNT CHE  WEST VANCOUVE,transport,7519
CHV43009 GRANDVIEW CHE  VANCOUVER,transport,5015
CHV43013 MT LEHMAN CHE  ABBOTSFORD,transport,4431
CHV43069 INLET ON THE C BURNABY,transport,3007
"CHV43080 MAIN & MOUNTA NORTH VANCOUV, BC",transport,357
CHV43104 IMPERIAL CHEV  BURNABY,transport,7045
CHV43105 PORT MOODY ON  PORT MOODY,transport,5000
CHV43122 BOUNDARY CHEV  BURNABY,transport,660
CIERA FOODS LTD 12959   VICTORIA,groceries,1048
CILANTRO AND JALAPENO 0 NORTH VANCOUV,dining,1700
"CILANTRO AND JALAPENO NORTH VANCOUV, BC",dining,2310
CINEPLEX #1147          VANCOUVER,shopping,1127
CINEPLEX #1151          W-VANCOUVER,shopping,971
CINEPLEX #3144     QP   EDMONTON,shopping,362
CINEPLEX #8030 WEB QP   TORONTO,shopping,2966
CINEPLEX REC ROOM #3    EDMONTON,shopping,2625
CITY BBY BONSOR (BON)   BURNABY,health,4851
CITY OF VAN PAYBYPHONE  VANCOUVER,transport,114
CITY OF VANCOUVER       VANCOUVER,transport,400
CITY OF VANCOUVER PARKI VANCOUVER,transport,238
CLAUDE.AI SUBSCRIPTION  SAN FRANCISCO,subscriptions,14700
COBS BREAD              EDMONTON,groceries,1125
COCO FRESH TEA & JUICE  Vancouver,dining,1449
"COCO FRESH TEA SURREY, BC",dining,1586
COFFE BOX 3 INTL        CHENNAI,dining,387
"COINAMATIC A, ON",housing,3025
COMPASS ACCOUNT,transport,-200
COMPASS ACCOUNT BURN    BURNABY,transport,335
"COMPASS ACCOUNT BURNAB BURNABY, BC",transport,335
COMPASS AUTOLOAD        BURNABY,transport,14350
COMPASS VENDING,transport,-200
COMPASS VENDING BURN    BURNABY,transport,2000
COMPASS WEB,transport,-200
COMPASS WEB BURNABY     BURNABY,transport,500
CONGRESS COFFEE COMPANY Calgary,dining,4380
"COSTCO WHSE#1322 PFLUGERVILLE, TX 4.31 USD @ 1.431554",groceries,617
CPC / SCP 573310        EDMONTON,shopping,8117
CREDIT,__exclude,50000
CREDIT ADJUSTMENT,__exclude,15
CURRY SHASHWAT 001      VICTORIA,dining,6836
Cypress Mountain RTP    West Vancouver,travel,11340
DAIRY QUEEN #26984 VANC VANCOUVER,dining,839
"DAIRY QUEEN #26987 VANCOUVER, BC",dining,839
"DAIRY QUEEN #27411 LANGLEY, BC",dining,1888
DAY TO DAY GROCERY & PR LANGLEY,groceries,6602
DE DUTCH EDMONTON EDMON EDMONTON,dining,3363
DEBIT,__exclude,-50000
DECATHLON IN1437        CHENNAI,shopping,4863
DECATHLON METROTOWN     BURNABY,shopping,1680
DECIEM DISTRIBUTION INC TORONTO,shopping,4749
"DELISSITUDE CALGARY, AB",dining,350
DENNY'S 03-104 VANCOUV  VANCOUVER,dining,1639
DESI-LICIOUS RESTAURANT EDMONTON,dining,1364
"DHALIWAL SWEETS ABBOTSFOR SURREY, BC",dining,2830
DHAMAKA                 VANCOUVER,dining,3779
DHAMAKA INDIAN RESTAURA VANCOUVER,dining,2309
DINA KURDISH & TURKISH  Courtenay,dining,419
"DING TEA VICTORIA, BC",dining,30
DOLCE AMORE - LOLO      North Vancouver,dining,1400
DOLLARAMA # 480         DELTA,shopping,364
DOLLARAMA # 757         LANGLEY,shopping,2884
DOLLARAMA # 842         COQUITLAM,shopping,2633
DOLLARAMA #0937         KELOWNA,shopping,393
DOLLARAMA #0959         EDMONTON,shopping,4541
DOLLARAMA #1027         WEST VANCOUVER,shopping,952
DOLLARAMA #1225         VANCOUVER,shopping,476
DOLLARAMA #1371         EDMONTON,shopping,2363
DOLLARAMA #1416         VANCOUVER,shopping,224
DOLLARAMA #1599         SAINT-LAURENT,shopping,1224
DOLLARAMA #389          EDMONTON,shopping,196
DOLLARAMA 1465          VICTORIA,shopping,187
"DOLLARAMA 1465 VICTORIA, BC",shopping,281
DOMINOS PIZZA #39024    VICTORIA,dining,5061
DOMINOS PIZZA #39034    VICTORIA,dining,1811
DOMINOS PIZZA #39038    SQUAMISH,dining,313
DOMINOS PIZZA #39083    PORT COQUITLA,dining,2724
DOMINOS PIZZA 10054     COQUITLAM,dining,3275
DOMINOS PIZZA 10082     BURNABY,dining,1049
"DOMINOS PIZZA 101QPS 780-496-9922, AB",dining,3600
DOORDASHBIRYANIPALA     DOWNTOWN TORONT,dining,2000
DOORDASHREALCANADIA     DOWNTOWN TORONT,groceries,426
DOORDASHSHOPPERSDRU     DOWNTOWN TORONT,health,173
DOORDASHVARSHAINDIA     DOWNTOWN TORONT,dining,6669
DORINKU OSAKA 001       EDMONTON,dining,2082
DOSA PARAGON 001        VICTORIA,dining,2809
"DOSA PARAGON VICTORIA, BC",dining,4301
"DR. IAN R. SCHOLFIELD,  VICTORIA",health,-7500
"DR.ANEIL SANDHU,OPTOME  BURNABY",health,7400
"DUNBAR THEATRE VANCOUVER, BC",shopping,2550
EASYPARK CP106          VANCOUVER,transport,270
EASYPARK CP9            VANCOUVER,transport,1560
EDMONTON OUTLETAIRPORT  EDMONTON,shopping,813
EINTHUSAN               SCARBOROUGH,subscriptions,4370
Electronic Funds Transfer DEPOSIT 357560_26061509 Infoblox,__exclude,397349
Electronic Funds Transfer DEPOSIT 387402_26063009 Infoblox,__exclude,305596
Electronic Funds Transfer DEPOSIT AE/EI,__exclude,118600
Electronic Funds Transfer DEPOSIT CANADA,__exclude,21100
Electronic Funds Transfer DEPOSIT Direct Deposit University of Victoria,__exclude,150000
Electronic Funds Transfer DEPOSIT Direct Deposit UVIC,__exclude,250000
Electronic Funds Transfer DEPOSIT FX Credit GMT Promotion,__exclude,5000
Electronic Funds Transfer DEPOSIT GIC-23061426 CIBC ISBO,__exclude,71197
Electronic Funds Transfer DEPOSIT ReferralCR ISBO ReferralCR,__exclude,2500
Electronic Funds Transfer DEPOSIT Rembours. d'impôt/Tax Refund,__exclude,34881
Electronic Funds Transfer DEPOSIT TPS/GST,__exclude,26337
Electronic Funds Transfer DEPOSIT Wealthsimple Investments Inc.,__exclude,209659
Electronic Funds Transfer PAY PAYROLL DEPOSIT UVIC,__exclude,31889
Electronic Funds Transfer PAY THE HOME DEPOT,__exclude,15222
Electronic Funds Transfer PAY Wage/salary 000 British Columbia,__exclude,209307
Electronic Funds Transfer PAY Wage/salary 003 WAL-MART CANADA CORP,__exclude,619
Electronic Funds Transfer PREAUTHORIZED DEBIT American Express,__exclude,137070
Electronic Funds Transfer PREAUTHORIZED DEBIT DOB: 2001-11-09 Remitly Canada,__exclude,10199
Electronic Funds Transfer PREAUTHORIZED DEBIT Tangerine,__exclude,250000
Electronic Funds Transfer PREAUTHORIZED DEBIT Wealthsimple Investments Inc.,__exclude,10000
ESSO 7-ELEVEN 29903     KELOWNA,transport,5660
ESSO 7-ELEVEN 37779     CALGARY,transport,5000
ESSO 7-ELEVEN 37863 030 VANCOUVER,transport,6000
ESSO 7-ELEVEN 37902     VICTORIA,transport,4883
ESSO GRANDE ALLEE       QUEBEC,transport,401
ESSO SMART STOP 37885   COQUITLAM,transport,647
ETEA CAFE VANCOUVER     VANCOUVER,dining,683
"ETEA CAFE VANCOUVER, BC",dining,493
EVO CAR SHARE           BURNABY,transport,6252
EXPEDIA 73291760141281  EXPEDIA.CA,travel,48196
"EXPEDIA 73443099797040 EXPEDIA.CA, ON",travel,345
EXPRESS NEWS & SMOKES E NORTH VANCOUV,shopping,555
FAIRWAY MARKET          VICTORIA,groceries,3234
FAMOUS PLAYER #1408QP   BURNABY,shopping,1679
FAMOUS PLAYER #1417QP   VICTORIA,shopping,310
FAMOUS PLAYER #3403QP   EDMONTON,shopping,3279
FAWKES CAFE & BAKERY    Edmonton,dining,3454
FELICITAS               VICTORIA,dining,650
"FELICITAS VICTORIA, BC",dining,1696
FIVE STAR NORTH AMERICA CALGARY,shopping,2832
"FLAIR AIRLIN9ACYHM 4037090808, BC",travel,33677
"FLAIR AIRLIN9D8KAT 4037090808, BC",travel,16890
"FLAIR AIRLINCJ9AEJ 4037090808, BC",travel,14838
"FLAIR AIRLINEJBGJ7 4037090808, BC",travel,24079
"FLAIR AIRLINGYXE6J 4037090808, BC",travel,23478
"FLAIR AIRLINZEXZK6 4037090808, BC",travel,30485
"FLAIR DIREC 5TDU5P EDMONTON INTE, AB",travel,1075
"FLAIR DIREC 9ACYHM EDMONTON INTE, AB",travel,2205
"FLAIR DIREC GYXE6J EDMONTON INTE, AB",travel,9870
Flights on Booking.com Amsterdam,travel,227400
"FLIXBUS INC Dallas, TX",travel,3797
FORCEMULTIPLIER         VANCOUVER,shopping,2000
FORT CINEMA FORT CINEMA FORT SASKATCH,shopping,-8159
FREEDOM MOBILE          877-946-3184,utilities,4368
FRESHSLICE PIZZA 413100 NORTH VANCOUVER,dining,1064
FRESHSLICE PIZZA 413104 BURNABY,dining,650
FRESHSLICE PIZZA FRESHS VICTORIA,dining,1181
"FRUITICANA VANCOUVER VANCOUVER, BC",groceries,279
FSM 1045                N.VANCOUVER,groceries,1161
"GAMESTOP 866 VICTORIA, BC",shopping,7839
"GIGI ABBYS CAFE SYLVAN LAKE, AB",dining,2388
GNC 4297                VICTORIA,health,1257
"GOGGIS GULLY EDMONTON, AB",dining,7280
"GRAD HOUSE RESTAURANT VICTORIA, BC",dining,3098
GRAMMARLY CO*3GN62OR    SAN FANCISCO,subscriptions,4177
GRAMMARLY CO*62QWS3K    SAN FRANCISCO,subscriptions,4203
GRAMMARLY CO*BS36V58    SAN FRANCISCO,subscriptions,4238
GRAMMARLY CO*LS15VFZ    SAN FANCISCO,subscriptions,4194
GRECIAN CORNER          SEATTLE,dining,922
GREEN TRENDS CHENNAI 254.00 INR @ .016968,health,430
GREENSPOT RESTAURANT 00 MONTREAL,dining,3704
H&M HENNES & MAURITZ IN TORONTO,shopping,24145
HANGTAG PARKING         VANCOUVER,transport,501
HELLCRUST PIZZA 001     NORTH VANCOUV,dining,1508
HENDERSON CENTRE 1      VICTORIA,shopping,2975
"HERTZ, RA, 921724414    EDMONTON",travel,20493
"HERTZ, RA, 938550535    ABBOTSFORD",travel,30497
HM SOUTH EDMONTON COMMO EDMONTON,shopping,-3674
HOLLYWOOD CINEMA CAPR   SURREY,shopping,550
HOMESENSE 031           EDMONTON,shopping,5960
HOMESENSE 123           EDMONTON,shopping,2045
HONK - CAN              866-675-7337,transport,635
HORIN RAMEN + SAKE 001  VANCOUVER,dining,4978
HOTEL ON BOOKING.COM    AMSTERDAM,travel,13468
HTSP-* SYLVAN LAKE      FREDERICTON,travel,535
HUDSON ST2173 HUDSON ST CALGARY,shopping,524
HUGGINGFACE             BROOKLYN,subscriptions,1429
IKEA RICHMOND           RICHMOND,shopping,4479
IMMIGRATION CANADA      OTTAWA,shopping,3000
IMMIGRATION CANADA ONLI OTTAWA,shopping,25500
IMPARK00010199U         VANCOUVER,transport,1600
IMPARK00010670U         VANCOUVER,transport,200
IMPARK00011503U         BURNABY,transport,850
IMPARK00011650U         DELTA,transport,100
INDIGO PARK-RESERVATIO  VANCOUVER,transport,1013
INMOTION-758            HEBRON,shopping,7744
Internet Banking E-TRANSFER 010950651562 joe,__exclude,78333
Internet Banking E-TRANSFER 010964210692 SADHIKAHAMED SHAIKMOHAMME,__exclude,50000
Internet Banking E-TRANSFER 010965187542 DIVILI SATHVIK,__exclude,200000
Internet Banking E-TRANSFER 010971020607 Joe,__exclude,78333
Internet Banking E-TRANSFER 010975727532 swathi,__exclude,40000
Internet Banking E-TRANSFER 010989047162 DIVILI SATHVIK,__exclude,280000
Internet Banking E-TRANSFER 010996150712 SREE TEJOVATH,__exclude,50000
Internet Banking E-TRANSFER 011019313966 SREE TEJOVATH,__exclude,6000
Internet Banking E-TRANSFER 011021135797 swathi,__exclude,154000
Internet Banking E-TRANSFER 011032158632 Jheel Shah,__exclude,150000
Internet Banking E-TRANSFER 011039607942 SREEVYSHNAVI TEJOVATH,__exclude,130000
Internet Banking E-TRANSFER 011055133946 SREEVYSHNAVI TEJOVATH,__exclude,240000
Internet Banking E-TRANSFER 011056044292 SREEVYSHNAVI TEJOVATH,__exclude,10000
Internet Banking E-TRANSFER 011072852681 SREE TEJOVATH,__exclude,5000
Internet Banking E-TRANSFER 011073775951 joe,__exclude,150000
Internet Banking E-TRANSFER 011074028263 joe,__exclude,50000
Internet Banking E-TRANSFER 011078638903 SREEVYSHNAVI TEJOVATH,__exclude,30000
Internet Banking E-TRANSFER 011080021707 swathi,__exclude,10000
Internet Banking E-TRANSFER 011085959183 Daniel Grisales,__exclude,2000
Internet Banking E-TRANSFER 011091545613 joe,__exclude,39000
Internet Banking E-TRANSFER 011106807229 DIVILI SATHVIK,__exclude,300000
Internet Banking E-TRANSFER 011117793388 joe,__exclude,300000
Internet Banking E-TRANSFER 011148981830 REZA BIGLARI,__exclude,62500
Internet Banking E-TRANSFER 011183087292 Hari,__exclude,27000
Internet Banking E-TRANSFER 011197662749 Hari,__exclude,4600
Internet Banking E-TRANSFER 011227579752 Hari,__exclude,223200
Internet Banking E-TRANSFER 011251563775 Hari,__exclude,262800
Internet Banking E-TRANSFER 011257461862 Hari,__exclude,300000
Internet Banking E-TRANSFER 011259954902 Hari,__exclude,281500
Internet Banking E-TRANSFER 011261329927 Hari,__exclude,300000
Internet Banking E-TRANSFER 011262949010 swathi,__exclude,5000
Internet Banking E-TRANSFER 011326968467 Hari,__exclude,113200
Internet Banking E-TRANSFER 011340104232 GRANDE BARBERIA SHOP LTD.,__exclude,5000
Internet Banking E-TRANSFER 011359342898 swathi,__exclude,300000
Internet Banking E-TRANSFER 011360569928 swathi,__exclude,300000
Internet Banking E-TRANSFER 011363570684 swathi,__exclude,30000
Internet Banking E-TRANSFER 011440400621 SREEVYSHNAVI TEJOVATH,__exclude,100000
Internet Banking E-TRANSFER 011450108013 DIVILI SATHVIK,__exclude,10000
Internet Banking E-TRANSFER 011450391811 SREEVYSHNAVI TEJOVATH,__exclude,50000
Internet Banking E-TRANSFER 011450893160 swathi,__exclude,300000
Internet Banking E-TRANSFER 011471343460 SATHVIK DIVILI,__exclude,50000
Internet Banking E-TRANSFER 011475187684 SATHVIK DIVILI,__exclude,50000
Internet Banking E-TRANSFER 011508259963 SATHVIK DIVILI,__exclude,20000
Internet Banking E-TRANSFER 011511787712 swathi,__exclude,150000
Internet Banking E-TRANSFER 011530381342 swathi,__exclude,175000
Internet Banking E-TRANSFER 011549555738 swathi,__exclude,50000
Internet Banking E-TRANSFER 011584849168 swathi,__exclude,50000
Internet Banking E-TRANSFER 011585115693 Asha Naiwumbwe,__exclude,5000
Internet Banking E-TRANSFER 011597285781 SATHVIK DIVILI,__exclude,50000
Internet Banking E-TRANSFER 011611166177 swathi,__exclude,100000
Internet Banking E-TRANSFER 011630326828 SREE VYSHNAVI TEJOVATH,__exclude,100000
Internet Banking E-TRANSFER 011651550613 SATHVIK DIVILI,__exclude,25000
Internet Banking E-TRANSFER 011654884429 swathi,__exclude,300000
