merchant_raw,category_id,amount_cents,notes
COCO FRESH TEA & JUICE  Vancouver,,1449,
"COCO FRESH TEA SURREY, BC",,1586,
COFFE BOX 3 INTL        CHENNAI,,387,
"COINAMATIC A, ON",,3025,
COMPASS ACCOUNT,,-200,
COMPASS ACCOUNT BURN    BURNABY,,335,
"COMPASS ACCOUNT BURNAB BURNABY, BC",,335,
COMPASS AUTOLOAD        BURNABY,,14350,
COMPASS VENDING,,-200,
COMPASS VENDING BURN    BURNABY,,2000,
COMPASS WEB,,-200,
COMPASS WEB BURNABY     BURNABY,,500,
CONGRESS COFFEE COMPANY Calgary,,4380,
"COSTCO WHSE#1322 PFLUGERVILLE, TX 4.31 USD @ 1.431554",,617,
CPC / SCP 573310        EDMONTON,,8117,
CREDIT,,50000,
CREDIT ADJUSTMENT,,15,
CURRY SHASHWAT 001      VICTORIA,,6836,
Cypress Mountain RTP    West Vancouver,,11340,
DAIRY QUEEN #26984 VANC VANCOUVER,,839,
"DAIRY QUEEN #26987 VANCOUVER, BC",,839,
"DAIRY QUEEN #27411 LANGLEY, BC",,1888,
DAY TO DAY GROCERY & PR LANGLEY,,6602,
DE DUTCH EDMONTON EDMON EDMONTON,,3363,
DEBIT,,-50000,
DECATHLON IN1437        CHENNAI,,4863,
DECATHLON METROTOWN     BURNABY,,1680,
DECIEM DISTRIBUTION INC TORONTO,,4749,
"DELISSITUDE CALGARY, AB",,350,
DENNY'S 03-104 VANCOUV  VANCOUVER,,1639,
DESI-LICIOUS RESTAURANT EDMONTON,,1364,
"DHALIWAL SWEETS ABBOTSFOR SURREY, BC",,2830,
DHAMAKA                 VANCOUVER,,3779,
DHAMAKA INDIAN RESTAURA VANCOUVER,,2309,
DINA KURDISH & TURKISH  Courtenay,,419,
"DING TEA VICTORIA, BC",,30,
DOLCE AMORE - LOLO      North Vancouver,,1400,
DOLLARAMA # 480         DELTA,,364,
DOLLARAMA # 757         LANGLEY,,2884,
DOLLARAMA # 842         COQUITLAM,,2633,
DOLLARAMA #0937         KELOWNA,,393,
DOLLARAMA #0959         EDMONTON,,4541,
DOLLARAMA #1027         WEST VANCOUVER,,952,
DOLLARAMA #1225         VANCOUVER,,476,
DOLLARAMA #1371         EDMONTON,,2363,
DOLLARAMA #1416         VANCOUVER,,224,
DOLLARAMA #1599         SAINT-LAURENT,,1224,
DOLLARAMA #389          EDMONTON,,196,
DOLLARAMA 1465          VICTORIA,,187,
"DOLLARAMA 1465 VICTORIA, BC",,281,
DOMINOS PIZZA #39024    VICTORIA,,5061,
DOMINOS PIZZA #39034    VICTORIA,,1811,
DOMINOS PIZZA #39038    SQUAMISH,,313,
DOMINOS PIZZA #39083    PORT COQUITLA,,2724,
DOMINOS PIZZA 10054     COQUITLAM,,3275,
DOMINOS PIZZA 10082     BURNABY,,1049,
"DOMINOS PIZZA 101QPS 780-496-9922, AB",,3600,
DOORDASHBIRYANIPALA     DOWNTOWN TORONT,,2000,
DOORDASHREALCANADIA     DOWNTOWN TORONT,,426,
DOORDASHSHOPPERSDRU     DOWNTOWN TORONT,,173,
DOORDASHVARSHAINDIA     DOWNTOWN TORONT,,6669,
DORINKU OSAKA 001       EDMONTON,,2082,
DOSA PARAGON 001        VICTORIA,,2809,
"DOSA PARAGON VICTORIA, BC",,4301,
"DR. IAN R. SCHOLFIELD,  VICTORIA",,-7500,
"DR.ANEIL SANDHU,OPTOME  BURNABY",,7400,
"DUNBAR THEATRE VANCOUVER, BC",,2550,
EASYPARK CP106          VANCOUVER,,270,
EASYPARK CP9            VANCOUVER,,1560,
EDMONTON OUTLETAIRPORT  EDMONTON,,813,
EINTHUSAN               SCARBOROUGH,,4370,
Electronic Funds Transfer DEPOSIT 357560_26061509 Infoblox,,397349,transfer/exclude if internal movement
Electronic Funds Transfer DEPOSIT 387402_26063009 Infoblox,,305596,transfer/exclude if internal movement
Electronic Funds Transfer DEPOSIT AE/EI,,118600,transfer/exclude if internal movement
Electronic Funds Transfer DEPOSIT CANADA,,21100,transfer/exclude if internal movement
Electronic Funds Transfer DEPOSIT Direct Deposit University of Victoria,,150000,transfer/exclude if internal movement
Electronic Funds Transfer DEPOSIT Direct Deposit UVIC,,250000,transfer/exclude if internal movement
Electronic Funds Transfer DEPOSIT FX Credit GMT Promotion,,5000,transfer/exclude if internal movement
Electronic Funds Transfer DEPOSIT GIC-23061426 CIBC ISBO,,71197,transfer/exclude if internal movement
Electronic Funds Transfer DEPOSIT ReferralCR ISBO ReferralCR,,2500,transfer/exclude if internal movement
Electronic Funds Transfer DEPOSIT Rembours. d'impôt/Tax Refund,,34881,transfer/exclude if internal movement
Electronic Funds Transfer DEPOSIT TPS/GST,,26337,transfer/exclude if internal movement
Electronic Funds Transfer DEPOSIT Wealthsimple Investments Inc.,,209659,transfer/exclude if internal movement
Electronic Funds Transfer PAY PAYROLL DEPOSIT UVIC,,31889,transfer/exclude if internal movement
Electronic Funds Transfer PAY THE HOME DEPOT,,15222,transfer/exclude if internal movement
Electronic Funds Transfer PAY Wage/salary 000 British Columbia,,209307,transfer/exclude if internal movement
Electronic Funds Transfer PAY Wage/salary 003 WAL-MART CANADA CORP,,619,transfer/exclude if internal movement
Electronic Funds Transfer PREAUTHORIZED DEBIT American Express,,137070,transfer/exclude if internal movement
Electronic Funds Transfer PREAUTHORIZED DEBIT DOB: 2001-11-09 Remitly Canada,,10199,transfer/exclude if internal movement
Electronic Funds Transfer PREAUTHORIZED DEBIT Tangerine,,250000,transfer/exclude if internal movement
Electronic Funds Transfer PREAUTHORIZED DEBIT Wealthsimple Investments Inc.,,10000,transfer/exclude if internal movement
ESSO 7-ELEVEN 29903     KELOWNA,,5660,
ESSO 7-ELEVEN 37779     CALGARY,,5000,
ESSO 7-ELEVEN 37863 030 VANCOUVER,,6000,
ESSO 7-ELEVEN 37902     VICTORIA,,4883,
ESSO GRANDE ALLEE       QUEBEC,,401,
ESSO SMART STOP 37885   COQUITLAM,,647,
ETEA CAFE VANCOUVER     VANCOUVER,,683,
"ETEA CAFE VANCOUVER, BC",,493,
EVO CAR SHARE           BURNABY,,6252,
EXPEDIA 73291760141281  EXPEDIA.CA,,48196,
"EXPEDIA 73443099797040 EXPEDIA.CA, ON",,345,
EXPRESS NEWS & SMOKES E NORTH VANCOUV,,555,
FAIRWAY MARKET          VICTORIA,,3234,
FAMOUS PLAYER #1408QP   BURNABY,,1679,
FAMOUS PLAYER #1417QP   VICTORIA,,310,
FAMOUS PLAYER #3403QP   EDMONTON,,3279,
FAWKES CAFE & BAKERY    Edmonton,,3454,
FELICITAS               VICTORIA,,650,
"FELICITAS VICTORIA, BC",,1696,
FIVE STAR NORTH AMERICA CALGARY,,2832,
"FLAIR AIRLIN9ACYHM 4037090808, BC",,33677,
"FLAIR AIRLIN9D8KAT 4037090808, BC",,16890,
"FLAIR AIRLINCJ9AEJ 4037090808, BC",,14838,
"FLAIR AIRLINEJBGJ7 4037090808, BC",,24079,
"FLAIR AIRLINGYXE6J 4037090808, BC",,23478,
"FLAIR AIRLINZEXZK6 4037090808, BC",,30485,
"FLAIR DIREC 5TDU5P EDMONTON INTE, AB",,1075,
"FLAIR DIREC 9ACYHM EDMONTON INTE, AB",,2205,
"FLAIR DIREC GYXE6J EDMONTON INTE, AB",,9870,
Flights on Booking.com Amsterdam,,227400,
"FLIXBUS INC Dallas, TX",,3797,
FORCEMULTIPLIER         VANCOUVER,,2000,
FORT CINEMA FORT CINEMA FORT SASKATCH,,-8159,
FREEDOM MOBILE          877-946-3184,,4368,
FRESHSLICE PIZZA 413100 NORTH VANCOUVER,,1064,
FRESHSLICE PIZZA 413104 BURNABY,,650,
FRESHSLICE PIZZA FRESHS VICTORIA,,1181,
"FRUITICANA VANCOUVER VANCOUVER, BC",,279,
FSM 1045                N.VANCOUVER,,1161,
"GAMESTOP 866 VICTORIA, BC",,7839,
"GIGI ABBYS CAFE SYLVAN LAKE, AB",,2388,
GNC 4297                VICTORIA,,1257,
"GOGGIS GULLY EDMONTON, AB",,7280,
"GRAD HOUSE RESTAURANT VICTORIA, BC",,3098,
GRAMMARLY CO*3GN62OR    SAN FANCISCO,,4177,
GRAMMARLY CO*62QWS3K    SAN FRANCISCO,,4203,
GRAMMARLY CO*BS36V58    SAN FRANCISCO,,4238,
GRAMMARLY CO*LS15VFZ    SAN FANCISCO,,4194,
GRECIAN CORNER          SEATTLE,,922,
GREEN TRENDS CHENNAI 254.00 INR @ .016968,,430,
GREENSPOT RESTAURANT 00 MONTREAL,,3704,
H&M HENNES & MAURITZ IN TORONTO,,24145,
HANGTAG PARKING         VANCOUVER,,501,
HELLCRUST PIZZA 001     NORTH VANCOUV,,1508,
HENDERSON CENTRE 1      VICTORIA,,2975,
"HERTZ, RA, 921724414    EDMONTON",,20493,
"HERTZ, RA, 938550535    ABBOTSFORD",,30497,
HM SOUTH EDMONTON COMMO EDMONTON,,-3674,
HOLLYWOOD CINEMA CAPR   SURREY,,550,
HOMESENSE 031           EDMONTON,,5960,
HOMESENSE 123           EDMONTON,,2045,
HONK - CAN              866-675-7337,,635,
HORIN RAMEN + SAKE 001  VANCOUVER,,4978,
HOTEL ON BOOKING.COM    AMSTERDAM,,13468,
HTSP-* SYLVAN LAKE      FREDERICTON,,535,
HUDSON ST2173 HUDSON ST CALGARY,,524,
HUGGINGFACE             BROOKLYN,,1429,
IKEA RICHMOND           RICHMOND,,4479,
IMMIGRATION CANADA      OTTAWA,,3000,
IMMIGRATION CANADA ONLI OTTAWA,,25500,
IMPARK00010199U         VANCOUVER,,1600,
IMPARK00010670U         VANCOUVER,,200,
IMPARK00011503U         BURNABY,,850,
IMPARK00011650U         DELTA,,100,
INDIGO PARK-RESERVATIO  VANCOUVER,,1013,
INMOTION-758            HEBRON,,7744,
Internet Banking E-TRANSFER 010950651562 joe,,78333,transfer/exclude if internal movement
Internet Banking E-TRANSFER 010964210692 SADHIKAHAMED SHAIKMOHAMME,,50000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 010965187542 DIVILI SATHVIK,,200000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 010971020607 Joe,,78333,transfer/exclude if internal movement
Internet Banking E-TRANSFER 010975727532 swathi,,40000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 010989047162 DIVILI SATHVIK,,280000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 010996150712 SREE TEJOVATH,,50000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011019313966 SREE TEJOVATH,,6000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011021135797 swathi,,154000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011032158632 Jheel Shah,,150000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011039607942 SREEVYSHNAVI TEJOVATH,,130000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011055133946 SREEVYSHNAVI TEJOVATH,,240000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011056044292 SREEVYSHNAVI TEJOVATH,,10000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011072852681 SREE TEJOVATH,,5000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011073775951 joe,,150000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011074028263 joe,,50000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011078638903 SREEVYSHNAVI TEJOVATH,,30000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011080021707 swathi,,10000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011085959183 Daniel Grisales,,2000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011091545613 joe,,39000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011106807229 DIVILI SATHVIK,,300000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011117793388 joe,,300000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011148981830 REZA BIGLARI,,62500,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011183087292 Hari,,27000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011197662749 Hari,,4600,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011227579752 Hari,,223200,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011251563775 Hari,,262800,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011257461862 Hari,,300000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011259954902 Hari,,281500,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011261329927 Hari,,300000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011262949010 swathi,,5000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011326968467 Hari,,113200,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011340104232 GRANDE BARBERIA SHOP LTD.,,5000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011359342898 swathi,,300000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011360569928 swathi,,300000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011363570684 swathi,,30000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011440400621 SREEVYSHNAVI TEJOVATH,,100000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011450108013 DIVILI SATHVIK,,10000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011450391811 SREEVYSHNAVI TEJOVATH,,50000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011450893160 swathi,,300000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011471343460 SATHVIK DIVILI,,50000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011475187684 SATHVIK DIVILI,,50000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011508259963 SATHVIK DIVILI,,20000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011511787712 swathi,,150000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011530381342 swathi,,175000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011549555738 swathi,,50000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011584849168 swathi,,50000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011585115693 Asha Naiwumbwe,,5000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011597285781 SATHVIK DIVILI,,50000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011611166177 swathi,,100000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011630326828 SREE VYSHNAVI TEJOVATH,,100000,transfer/exclude if internal movement
